occ90,occ90_desc,occ00,occ00_desc,conversion_factor
003,Legislators,,,
,,003,Legislators,100.00000000000000000000
004,"Chief executives & general administrators, public administration",,,
,,001,Chief executives,77.14285714285710000000
,,043,"Managers, all other",22.85714285714290000000
005,"Administrators and officials, public administration",,,
,,001,Chief executives,1.57068062827225000000
,,002,General and operations managers,3.14136125654450000000
,,010,Administrative services managers,2.09424083769634000000
,,011,Computer and information systems managers,1.57068062827225000000
,,012,Financial managers,5.23560209424084000000
,,013,Human resources managers,1.04712041884817000000
,,015,Purchasing managers,2.09424083769634000000
,,016,"Transportation, storage, and distribution managers",0.52356020942408400000
,,022,Construction managers,0.52356020942408400000
,,023,Education administrators,2.09424083769634000000
,,030,Engineering managers,0.52356020942408400000
,,036,Natural sciences managers,0.52356020942408400000
,,041,"Property, real estate, and community association managers",1.04712041884817000000
,,042,Social and community service managers,4.71204188481675000000
,,043,"Managers, all other",40.83769633507850000000
,,054,"Claims adjusters, appraisers, examiners, and investigators",4.18848167539267000000
,,062,"Human resources, training, and labor relations specialists",2.09424083769634000000
,,081,Appraisers and assessors of real estate,3.14136125654450000000
,,084,Financial analysts,0.52356020942408400000
,,093,"Tax examiners, collectors, and revenue agents",5.23560209424084000000
,,122,Operations research analysts,5.75916230366492000000
,,164,Conservation scientists and foresters,0.52356020942408400000
,,202,Miscellaneous community and social service specialists,2.09424083769634000000
,,211,"Judges, magistrates, and other judicial workers",2.61780104712042000000
,,215,Miscellaneous legal support workers,0.52356020942408400000
,,354,Other healthcare practitioners and technical occupations,0.52356020942408400000
,,382,Detectives and criminal investigators,0.52356020942408400000
,,395,Lifeguards and other protective service workers,0.52356020942408400000
,,525,"Eligibility interviewers, government programs",4.18848167539267000000
006,"Administrators, protective services",,,
,,043,"Managers, all other",14.01869158878500000000
,,056,"Compliance officers, except agriculture, construction, health and safety, and transportation",8.41121495327103000000
,,073,Other business operations specialists,1.86915887850467000000
,,211,"Judges, magistrates, and other judicial workers",0.93457943925233600000
,,370,First-line supervisors/managers of correctional officers,7.47663551401869000000
,,371,First-line supervisors/managers of police and detectives,28.97196261682240000000
,,372,First-line supervisors/managers of fire fighting and prevention workers,16.82242990654210000000
,,373,"Supervisors, protective service workers, all other",21.49532710280370000000
007,Financial managers,,,
,,012,Financial managers,100.00000000000000000000
008,Personnel and labor relations managers,,,
,,013,Human resources managers,100.00000000000000000000
009,Purchasing managers,,,
,,015,Purchasing managers,96.21212121212120000000
,,211,"Judges, magistrates, and other judicial workers",3.78787878787879000000
013,"Managers, marketing, advertising, and public relations",,,
,,004,Advertising and promotions managers,13.08411214953270000000
,,005,Marketing and sales managers,81.30841121495330000000
,,006,Public relations managers,1.40186915887850000000
,,471,First-line supervisors/managers of non-retail sales workers,4.20560747663551000000
014,"Administrators, education and related fields",,,
,,001,Chief executives,1.03092783505155000000
,,023,Education administrators,95.36082474226800000000
,,034,Lodging managers,1.03092783505155000000
,,073,Other business operations specialists,1.03092783505155000000
,,095,"Financial specialists, all other",1.54639175257732000000
015,"Managers, medicine and health",,,
,,023,Education administrators,1.69491525423729000000
,,035,Medical and health services managers,94.06779661016950000000
,,570,Secretaries and administrative assistants,4.23728813559322000000
016,Postmasters and mail superintendents,,,
,,040,Postmasters and mail superintendents,100.00000000000000000000
017,"Managers, food serving and lodging establishments",,,
,,002,General and operations managers,2.62008733624454000000
,,031,Food service managers,58.07860262008730000000
,,033,Gaming managers,0.87336244541484700000
,,034,Lodging managers,9.17030567685589000000
,,072,Meeting and convention planners,0.43668122270742400000
,,400,Chefs and head cooks,1.74672489082969000000
,,401,First-line supervisors/managers of food preparation and serving workers,27.07423580786030000000
018,"Managers, properties and real estate",,,
,,034,Lodging managers,0.69444444444444400000
,,041,"Property, real estate, and community association managers",91.66666666666670000000
,,492,Real estate brokers and sales agents,7.63888888888889000000
019,Funeral directors,,,
,,032,Funeral directors,100.00000000000000000000
021,"Managers, service organizations, n.e.c.",,,
,,001,Chief executives,1.19047619047619000000
,,002,General and operations managers,5.95238095238095000000
,,005,Marketing and sales managers,0.59523809523809500000
,,006,Public relations managers,1.19047619047619000000
,,011,Computer and information systems managers,1.19047619047619000000
,,013,Human resources managers,1.19047619047619000000
,,023,Education administrators,0.59523809523809500000
,,033,Gaming managers,1.19047619047619000000
,,034,Lodging managers,1.19047619047619000000
,,035,Medical and health services managers,3.57142857142857000000
,,041,"Property, real estate, and community association managers",0.59523809523809500000
,,042,Social and community service managers,29.76190476190480000000
,,043,"Managers, all other",27.38095238095240000000
,,062,"Human resources, training, and labor relations specialists",4.76190476190476000000
,,072,Meeting and convention planners,2.97619047619048000000
,,201,Social workers,1.78571428571429000000
,,202,Miscellaneous community and social service specialists,4.76190476190476000000
,,462,Recreation and fitness workers,10.11904761904760000000
022,"Managers and administrators, n.e.c.",,,
,,001,Chief executives,8.62573099415205000000
,,002,General and operations managers,8.47953216374269000000
,,005,Marketing and sales managers,1.60818713450292000000
,,010,Administrative services managers,1.02339181286550000000
,,011,Computer and information systems managers,2.19298245614035000000
,,012,Financial managers,1.16959064327485000000
,,014,Industrial production managers,1.75438596491228000000
,,015,Purchasing managers,1.31578947368421000000
,,016,"Transportation, storage, and distribution managers",2.48538011695906000000
,,022,Construction managers,5.70175438596491000000
,,023,Education administrators,1.31578947368421000000
,,030,Engineering managers,1.02339181286550000000
,,034,Lodging managers,0.29239766081871300000
,,035,Medical and health services managers,1.31578947368421000000
,,036,Natural sciences managers,0.29239766081871300000
,,042,Social and community service managers,0.87719298245614000000
,,043,"Managers, all other",28.21637426900580000000
,,050,"Agents and business managers of artists, performers, and athletes",0.14619883040935700000
,,060,Cost estimators,2.04678362573099000000
,,073,Other business operations specialists,1.02339181286550000000
,,101,Computer programmers,0.58479532163742700000
,,110,Network and computer systems administrators,0.29239766081871300000
,,131,"Surveyors, cartographers, and photogrammetrists",0.14619883040935700000
,,202,Miscellaneous community and social service specialists,0.29239766081871300000
,,240,"Archivists, curators, and museum technicians",0.87719298245614000000
,,263,Designers,0.14619883040935700000
,,271,Producers and directors,0.87719298245614000000
,,421,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",0.73099415204678400000
,,430,First-line supervisors/managers of gaming workers,1.02339181286550000000
,,462,Recreation and fitness workers,1.02339181286550000000
,,471,First-line supervisors/managers of non-retail sales workers,3.36257309941520000000
,,500,First-line supervisors/managers of office and administrative support workers,10.81871345029240000000
,,570,Secretaries and administrative assistants,3.94736842105263000000
,,700,"First-line supervisors/managers of mechanics, installers, and repairers",1.90058479532164000000
,,900,"Supervisors, transportation and material moving workers",2.63157894736842000000
,,904,Air traffic controllers and airfield operations specialists,0.43859649122807000000
023,Accountants and auditors,,,
,,012,Financial managers,3.48837209302326000000
,,080,Accountants and auditors,93.60465116279070000000
,,093,"Tax examiners, collectors, and revenue agents",2.90697674418605000000
024,Underwriters,,,
,,086,Insurance underwriters,100.00000000000000000000
025,Other financial officers,,,
,,012,Financial managers,17.20430107526880000000
,,082,Budget analysts,8.06451612903226000000
,,083,Credit analysts,2.68817204301075000000
,,084,Financial analysts,3.22580645161290000000
,,085,Personal financial advisors,6.45161290322581000000
,,086,Insurance underwriters,1.61290322580645000000
,,091,Loan counselors and officers,38.70967741935480000000
,,094,Tax preparers,15.05376344086020000000
,,095,"Financial specialists, all other",4.30107526881720000000
,,482,"Securities, commodities, and financial services sales agents",2.68817204301075000000
026,Management analysts,,,
,,071,Management analysts,100.00000000000000000000
027,"Personnel, training, and labor relations specialists",,,
,,013,Human resources managers,6.21468926553672000000
,,062,"Human resources, training, and labor relations specialists",92.09039548022600000000
,,073,Other business operations specialists,1.12994350282486000000
,,211,"Judges, magistrates, and other judicial workers",0.56497175141242900000
028,"Purchasing agents and buyers, farm products",,,
,,051,"Purchasing agents and buyers, farm products",90.74074074074070000000
,,485,"Sales representatives, wholesale and manufacturing",9.25925925925926000000
029,"Buyers, wholesale and retail trade, except farm products",,,
,,052,"Wholesale and retail buyers, except farm products",87.57396449704140000000
,,053,"Purchasing agents, except wholesale, retail, and farm products",10.65088757396450000000
,,485,"Sales representatives, wholesale and manufacturing",1.77514792899408000000
033,"Purchasing agents and buyers, n.e.c.",,,
,,015,Purchasing managers,2.73224043715847000000
,,051,"Purchasing agents and buyers, farm products",4.91803278688525000000
,,052,"Wholesale and retail buyers, except farm products",7.65027322404372000000
,,053,"Purchasing agents, except wholesale, retail, and farm products",84.69945355191260000000
034,Business and promotion agents,,,
,,042,Social and community service managers,6.02409638554217000000
,,050,"Agents and business managers of artists, performers, and athletes",86.74698795180720000000
,,062,"Human resources, training, and labor relations specialists",2.40963855421687000000
,,073,Other business operations specialists,4.81927710843374000000
035,Construction inspectors,,,
,,666,Construction and building inspectors,100.00000000000000000000
036,"Inspectors and compliance officers, except construction",,,
,,056,"Compliance officers, except agriculture, construction, health and safety, and transportation",21.84873949579830000000
,,090,Financial examiners,1.26050420168067000000
,,093,"Tax examiners, collectors, and revenue agents",7.56302521008403000000
,,102,Computer software engineers,1.26050420168067000000
,,202,Miscellaneous community and social service specialists,0.42016806722689100000
,,354,Other healthcare practitioners and technical occupations,13.44537815126050000000
,,382,Detectives and criminal investigators,2.10084033613445000000
,,390,Animal control workers,0.42016806722689100000
,,391,Private detectives and investigators,10.08403361344540000000
,,601,Agricultural inspectors,24.36974789915970000000
,,604,"Graders and sorters, agricultural products",0.84033613445378200000
,,666,Construction and building inspectors,9.66386554621849000000
,,874,"Inspectors, testers, sorters, samplers, and weighers",3.36134453781513000000
,,941,Transportation inspectors,3.36134453781513000000
037,"Management related occupations, n.e.c.",,,
,,060,Cost estimators,21.58273381294960000000
,,072,Meeting and convention planners,0.71942446043165500000
,,073,Other business operations specialists,45.32374100719420000000
,,500,First-line supervisors/managers of office and administrative support workers,6.47482014388489000000
,,570,Secretaries and administrative assistants,25.89928057553960000000
043,Architects,,,
,,130,"Architects, except naval",100.00000000000000000000
044,Aerospace engineers,,,
,,132,Aerospace engineers,100.00000000000000000000
045,Metallurgical and materials engineers,,,
,,145,Materials engineers,99.05660377358490000000
,,306,Physicians and surgeons,0.94339622641509400000
046,Mining engineers,,,
,,062,"Human resources, training, and labor relations specialists",2.77777777777778000000
,,150,"Mining and geological engineers, including mining safety engineers",97.22222222222220000000
047,Petroleum engineers,,,
,,030,Engineering managers,0.99009900990099000000
,,143,"Industrial engineers, including health and safety",0.99009900990099000000
,,152,Petroleum engineers,94.05940594059410000000
,,193,Geological and petroleum technicians,3.96039603960396000000
048,Chemical engineers,,,
,,030,Engineering managers,1.45985401459854000000
,,135,Chemical engineers,95.62043795620440000000
,,145,Materials engineers,2.91970802919708000000
049,Nuclear engineers,,,
,,142,Environmental engineers,1.80180180180180000000
,,151,Nuclear engineers,98.19819819819820000000
053,Civil engineers,,,
,,030,Engineering managers,0.76335877862595400000
,,136,Civil engineers,96.18320610687020000000
,,142,Environmental engineers,3.05343511450382000000
054,Agricultural engineers,,,
,,133,Agricultural engineers,100.00000000000000000000
055,Electrical and electronic engineers,,,
,,030,Engineering managers,0.87719298245614000000
,,102,Computer software engineers,20.61403508771930000000
,,111,Network systems and data communications analysts,0.87719298245614000000
,,140,Computer hardware engineers,6.57894736842105000000
,,141,Electrical and electronic engineers,52.63157894736840000000
,,153,"Engineers, all other",14.47368421052630000000
,,290,Broadcast and sound engineering technicians and radio operators,3.94736842105263000000
056,Industrial engineers,,,
,,043,"Managers, all other",6.20437956204380000000
,,143,"Industrial engineers, including health and safety",89.78102189781020000000
,,145,Materials engineers,2.91970802919708000000
,,354,Other healthcare practitioners and technical occupations,1.09489051094891000000
057,Mechanical engineers,,,
,,140,Computer hardware engineers,0.41493775933610000000
,,143,"Industrial engineers, including health and safety",3.31950207468880000000
,,146,Mechanical engineers,96.26556016597510000000
058,Marine engineers and naval architects,,,
,,144,Marine engineers and naval architects,89.01098901098900000000
,,933,Ship engineers,10.98901098901100000000
059,"Engineers, n.e.c.",,,
,,030,Engineering managers,3.06748466257669000000
,,134,Biomedical engineers,1.84049079754601000000
,,142,Environmental engineers,11.65644171779140000000
,,143,"Industrial engineers, including health and safety",4.90797546012270000000
,,146,Mechanical engineers,4.29447852760736000000
,,153,"Engineers, all other",74.23312883435580000000
063,Surveyors and mapping scientists,,,
,,131,"Surveyors, cartographers, and photogrammetrists",97.80219780219780000000
,,155,"Engineering technicians, except drafters",2.19780219780220000000
064,Computer systems analysts and scientists,,,
,,011,Computer and information systems managers,1.19047619047619000000
,,071,Management analysts,0.59523809523809500000
,,100,Computer scientists and systems analysts,45.53571428571430000000
,,101,Computer programmers,2.67857142857143000000
,,102,Computer software engineers,30.95238095238100000000
,,104,Computer support specialists,6.54761904761905000000
,,106,Database administrators,0.89285714285714300000
,,110,Network and computer systems administrators,3.57142857142857000000
,,111,Network systems and data communications analysts,5.35714285714286000000
,,140,Computer hardware engineers,2.67857142857143000000
065,Operations and systems researchers and analysts,,,
,,070,Logisticians,11.96581196581200000000
,,100,Computer scientists and systems analysts,40.17094017094020000000
,,122,Operations research analysts,47.86324786324790000000
066,Actuaries,,,
,,120,Actuaries,100.00000000000000000000
067,Statisticians,,,
,,123,Statisticians,88.52459016393440000000
,,124,Miscellaneous mathematical science occupations,11.47540983606560000000
068,"Mathematical scientists, n.e.c.",,,
,,121,Mathematicians,87.50000000000000000000
,,124,Miscellaneous mathematical science occupations,8.55263157894737000000
,,132,Aerospace engineers,3.28947368421053000000
,,153,"Engineers, all other",0.65789473684210500000
069,Physicists and astronomers,,,
,,165,Medical scientists,1.57480314960630000000
,,170,Astronomers and physicists,98.42519685039370000000
073,"Chemists, except biochemists",,,
,,172,Chemists and materials scientists,100.00000000000000000000
074,Atmospheric and space scientists,,,
,,171,Atmospheric and space scientists,100.00000000000000000000
075,Geologists and geodesists,,,
,,142,Environmental engineers,0.58139534883720900000
,,174,Environmental scientists and geoscientists,99.41860465116280000000
076,"Physical scientists, n.e.c.",,,
,,164,Conservation scientists and foresters,1.48148148148148000000
,,172,Chemists and materials scientists,2.22222222222222000000
,,174,Environmental scientists and geoscientists,71.85185185185180000000
,,176,"Physical scientists, all other",16.29629629629630000000
,,186,Miscellaneous social scientists and related workers,3.70370370370370000000
,,196,"Other life, physical, and social science technicians",4.44444444444444000000
077,Agricultural and food scientists,,,
,,020,"Farm, ranch, and other agricultural managers",2.70270270270270000000
,,160,Agricultural and food scientists,82.88288288288290000000
,,161,Biological scientists,9.90990990990991000000
,,602,Animal breeders,4.50450450450450000000
078,Biological and life scientists,,,
,,160,Agricultural and food scientists,0.60606060606060600000
,,161,Biological scientists,92.72727272727270000000
