state,t2010,t2009,t2008,t2005
1,120,130,100,40
2,10,10,10,10
4,400,375,500,450
5,55,60,60,45
6,2550,2250,2700,2650
8,180,210,240,240
9,120,110,110,90
10,25,20,30,25
11,25,25,30,25
12,825,675,1050,925
13,425,425,475,425
15,40,35,35,35
16,35,30,35,40
17,525,525,450,425
18,110,120,120,85
19,75,65,55,55
20,65,65,70,60
21,80,50,45,50
22,65,65,65,35
23,10,10,10,10
24,275,250,250,240
25,160,160,190,220
26,150,140,110,120
27,85,95,110,100
28,45,45,35,40
29,55,60,45,45
30,10,10,10,10
31,45,45,45,45
32,190,180,230,190
33,15,15,20,15
34,550,475,550,400
35,85,95,80,70
36,625,650,925,625
37,325,275,350,375
38,10,10,10,10
39,100,120,95,100
40,75,60,55,60
41,160,170,150,140
42,160,160,140,150
44,30,25,30,35
45,55,55,70,55
46,10,10,10,10
47,140,130,150,140
48,1650,1600,1450,1450
49,110,110,110,95
50,10,10,10,10
51,210,240,300,275
53,230,200,180,210
54,10,10,10,10
55,100,120,85,95
56,10,10,10,10
