occ80,occ80_desc
003,"Legislators"
004,"Chief executives and general administrators, public administration"
005,"Administrators and officials, public administration"
006,"Administrators, protective service"
007,"Financial managers"
008,"Personnel and labor relations managers"
009,"Purchasing managers"
013,"Managers, marketing, advertising, and public relations"
014,"Administrators, education and related fields"
015,"Managers, medicine and health"
016,"Managers, properties and real estate"
017,"Postmasters and mail superintendents"
018,"Funeral directors"
019,"Managers and administrators, n.e.c."
023,"Accountants and auditors"
024,"Underwriters"
025,"Other financial officers"
026,"Management analysts"
027,"Personnel, training, and labor relations specialists"
028,"Purchasing agents and buyers, farm products"
029,"Buyers, wholesale and retail trade, except farm products"
033,"Purchasing agents and buyers, n.e.c."
034,"Business and promotion agents"
035,"Construction inspectors"
036,"Inspection and compliance officers, except construction"
037,"Management related occupations, n.e.c."
043,"Architects"
044,"Aerospace"
045,"Metallurgical and materials"
046,"Mining"
047,"Petroleum"
048,"Chemical"
049,"Nuclear"
053,"Civil"
054,"Agricultural"
055,"Electrical and electronic"
056,"Industrial"
057,"Mechanical"
058,"Marine and naval architects"
059,"Engineers, n.e.c."
063,"Surveyors and mapping scientists"
064,"Computer systems analysts and scientists"
065,"Operations and systems researchers and analysts"
066,"Actuaries"
067,"Statisticians"
068,"Mathematical scientists, n.e.c."
069,"Physicists and astronomers"
073,"Chemists, except biochemists"
074,"Atmospheric and space scientists"
075,"Geologists and geodesists"
076,"Physical scientists, n.e.c."
077,"Agricultural and food scientists"
078,"Biological and life scientists"
079,"Forestry and conservation scientists"
083,"Medical scientists"
084,"Physicians"
085,"Dentists"
086,"Veterinarians"
087,"Optometrists"
088,"Podiatrists"
089,"Health diagnosing practitioners, n.e.c."
095,"Registered nurses"
096,"Pharmacists"
097,"Dietitians"
098,"Inhalation therapists"
099,"Occupational therapists"
103,"Physical therapists"
104,"Speech therapists"
105,"Therapists, n.e.c."
106,"Physicians' assistants"
113,"Earth, environmental, and marine science teachers"
114,"Biological science teachers"
115,"Chemistry teachers"
116,"Physics teachers"
117,"Natural science teachers, n.e.c."
118,"Psychology teachers"
119,"Economics teachers"
123,"History teachers"
124,"Political science teachers"
125,"Sociology teachers"
126,"Social science teachers, n.e.c."
127,"Engineering teachers"
128,"Mathematical science teachers"
129,"Computer science teachers"
133,"Medical science teachers"
134,"Health specialties teachers"
135,"Business, commerce, and marketing teachers"
136,"Agriculture and forestry teachers"
137,"Art, drama, and music teachers"
138,"Physical education teachers"
139,"Education teachers"
143,"English teachers"
144,"Foreign language teachers"
145,"Law teachers"
146,"Social work teachers"
147,"Theology teachers"
148,"Trade and industrial teachers"
149,"Home economics teachers"
153,"Teachers, postsecondary, n.e.c."
154,"Postsecondary teachers, subject n.s."
155,"Teachers, prekindergarten and kindergarten"
156,"Teachers, elementary school"
157,"Teachers, secondary school"
158,"Teachers, special education"
159,"Teachers, n.e.c."
163,"Counselors, educational and vocational"
164,"Librarians"
165,"Archivists and curators"
166,"Economists"
167,"Psychologists"
168,"Sociologists"
169,"Social scientists, n.e.c."
173,"Urban planners"
174,"Social workers"
175,"Recreation workers"
176,"Clergy"
177,"Religious workers, n.e.c."
178,"Lawyers"
179,"Judges"
183,"Authors"
184,"Technical writers"
185,"Designers"
186,"Musicians and composers"
187,"Actors and directors"
188,"Painters, sculptors, craft-artists, and artist printmakers"
189,"Photographers"
193,"Dancers"
194,"Artists, performers, and related workers, n.e.c."
195,"Editors and reporters"
197,"Public relations specialists"
198,"Announcers"
199,"Athletes"
203,"Clinical laboratory technologists and technicians"
204,"Dental hygienists"
205,"Health record technologists and technicians"
206,"Radiologic technicians"
207,"Licensed practical nurses"
208,"Health technologists and technicians, n.e.c."
213,"Electrical and electronic technicians"
214,"Industrial engineering technicians"
215,"Mechanical engineering technicians"
216,"Engineering technicians, n.e.c."
217,"Drafting occupations"
218,"Surveying and mapping technicians"
223,"Biological technicians"
224,"Chemical technicians"
225,"Science technicians, n.e.c."
226,"Airplane pilots and navigators"
227,"Air traffic controllers"
228,"Broadcast equipment operators"
229,"Computer programmers"
233,"Tool programmers, numerical control"
234,"Legal assistants"
235,"Technicians, n.e.c."
243,"Supervisors and proprietors, sales occupations"
253,"Insurance sales occupations"
254,"Real estate sales occupations"
255,"Securities and financial services sales occupations"
256,"Advertising and related sales occupations"
257,"Sales occupations, other business services"
258,"Sales engineers"
259,"Sales representatives, mining, manufacturing, and wholesale"
263,"Sales workers, motor vehicles and boats"
264,"Sales workers, apparel"
265,"Sales workers, shoes"
