occ90,occ90_desc,occ00,occ00_desc,conversion_factor
003,Legislators,,,
,,003,Legislators,100.000
004,"Chief executives & general administrators, public administration",,,
,,001,Chief executives,77.143
,,043,"Managers, all other",22.857
005,"Administrators and officials, public administration",,,
,,001,Chief executives,1.571
,,002,General and operations managers,3.141
,,010,Administrative services managers,2.094
,,011,Computer and information systems managers,1.571
,,012,Financial managers,5.236
,,013,Human resources managers,1.047
,,015,Purchasing managers,2.094
,,016,"Transportation, storage, and distribution managers",0.524
,,022,Construction managers,0.524
,,023,Education administrators,2.094
,,030,Engineering managers,0.524
,,036,Natural sciences managers,0.524
,,041,"Property, real estate, and community association managers",1.047
,,042,Social and community service managers,4.712
,,043,"Managers, all other",40.838
,,054,"Claims adjusters, appraisers, examiners, and investigators",4.188
,,062,"Human resources, training, and labor relations specialists",2.094
,,081,Appraisers and assessors of real estate,3.141
,,084,Financial analysts,0.524
,,093,"Tax examiners, collectors, and revenue agents",5.236
,,122,Operations research analysts,5.759
,,164,Conservation scientists and foresters,0.524
,,202,Miscellaneous community and social service specialists,2.094
,,211,"Judges, magistrates, and other judicial workers",2.618
,,215,Miscellaneous legal support workers,0.524
,,354,Other healthcare practitioners and technical occupations,0.524
,,382,Detectives and criminal investigators,0.524
,,395,Lifeguards and other protective service workers,0.524
,,525,"Eligibility interviewers, government programs",4.188
006,"Administrators, protective services",,,
,,043,"Managers, all other",14.019
,,056,"Compliance officers, except agriculture, construction, health and safety, and transportation",8.411
,,073,Other business operations specialists,1.869
,,211,"Judges, magistrates, and other judicial workers",0.935
,,370,First-line supervisors/managers of correctional officers,7.477
,,371,First-line supervisors/managers of police and detectives,28.972
,,372,First-line supervisors/managers of fire fighting and prevention workers,16.822
,,373,"Supervisors, protective service workers, all other",21.495
007,Financial managers,,,
,,012,Financial managers,100.000
008,Personnel and labor relations managers,,,
,,013,Human resources managers,100.000
009,Purchasing managers,,,
,,015,Purchasing managers,96.212
,,211,"Judges, magistrates, and other judicial workers",3.788
013,"Managers, marketing, advertising, and public relations",,,
,,004,Advertising and promotions managers,13.084
,,005,Marketing and sales managers,81.308
,,006,Public relations managers,1.402
,,471,First-line supervisors/managers of non-retail sales workers,4.206
014,"Administrators, education and related fields",,,
,,001,Chief executives,1.031
,,023,Education administrators,95.361
,,034,Lodging managers,1.031
,,073,Other business operations specialists,1.031
,,095,"Financial specialists, all other",1.546
015,"Managers, medicine and health",,,
,,023,Education administrators,1.695
,,035,Medical and health services managers,94.068
,,570,Secretaries and administrative assistants,4.237
016,Postmasters and mail superintendents,,,
,,040,Postmasters and mail superintendents,100.000
017,"Managers, food serving and lodging establishments",,,
,,002,General and operations managers,2.620
,,031,Food service managers,58.079
,,033,Gaming managers,0.873
,,034,Lodging managers,9.170
,,072,Meeting and convention planners,0.437
,,400,Chefs and head cooks,1.747
,,401,First-line supervisors/managers of food preparation and serving workers,27.074
018,"Managers, properties and real estate",,,
,,034,Lodging managers,0.694
,,041,"Property, real estate, and community association managers",91.667
,,492,Real estate brokers and sales agents,7.639
019,Funeral directors,,,
,,032,Funeral directors,100.000
021,"Managers, service organizations, n.e.c.",,,
,,001,Chief executives,1.190
,,002,General and operations managers,5.952
,,005,Marketing and sales managers,0.595
,,006,Public relations managers,1.190
,,011,Computer and information systems managers,1.190
,,013,Human resources managers,1.190
,,023,Education administrators,0.595
,,033,Gaming managers,1.190
,,034,Lodging managers,1.190
,,035,Medical and health services managers,3.571
,,041,"Property, real estate, and community association managers",0.595
,,042,Social and community service managers,29.762
,,043,"Managers, all other",27.381
,,062,"Human resources, training, and labor relations specialists",4.762
,,072,Meeting and convention planners,2.976
,,201,Social workers,1.786
,,202,Miscellaneous community and social service specialists,4.762
,,462,Recreation and fitness workers,10.119
022,"Managers and administrators, n.e.c.",,,
,,001,Chief executives,8.626
,,002,General and operations managers,8.480
,,005,Marketing and sales managers,1.608
,,010,Administrative services managers,1.023
,,011,Computer and information systems managers,2.193
,,012,Financial managers,1.170
,,014,Industrial production managers,1.754
,,015,Purchasing managers,1.316
,,016,"Transportation, storage, and distribution managers",2.485
,,022,Construction managers,5.702
,,023,Education administrators,1.316
,,030,Engineering managers,1.023
,,034,Lodging managers,0.292
,,035,Medical and health services managers,1.316
,,036,Natural sciences managers,0.292
,,042,Social and community service managers,0.877
,,043,"Managers, all other",28.216
,,050,"Agents and business managers of artists, performers, and athletes",0.146
,,060,Cost estimators,2.047
,,073,Other business operations specialists,1.023
,,101,Computer programmers,0.585
,,110,Network and computer systems administrators,0.292
,,131,"Surveyors, cartographers, and photogrammetrists",0.146
,,202,Miscellaneous community and social service specialists,0.292
,,240,"Archivists, curators, and museum technicians",0.877
,,263,Designers,0.146
,,271,Producers and directors,0.877
,,421,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",0.731
,,430,First-line supervisors/managers of gaming workers,1.023
,,462,Recreation and fitness workers,1.023
,,471,First-line supervisors/managers of non-retail sales workers,3.363
,,500,First-line supervisors/managers of office and administrative support workers,10.819
,,570,Secretaries and administrative assistants,3.947
,,700,"First-line supervisors/managers of mechanics, installers, and repairers",1.901
,,900,"Supervisors, transportation and material moving workers",2.632
,,904,Air traffic controllers and airfield operations specialists,0.439
023,Accountants and auditors,,,
,,012,Financial managers,3.488
,,080,Accountants and auditors,93.605
,,093,"Tax examiners, collectors, and revenue agents",2.907
024,Underwriters,,,
,,086,Insurance underwriters,100.000
025,Other financial officers,,,
,,012,Financial managers,17.204
,,082,Budget analysts,8.065
,,083,Credit analysts,2.688
,,084,Financial analysts,3.226
,,085,Personal financial advisors,6.452
,,086,Insurance underwriters,1.613
